TimeCreated,Channel,Level,EventId,ProviderName,Message
2026-03-30 21:34:19,System,Warning,10016,Microsoft-Windows-DistributedCOM,The application-specific permission settings do not grant Local Activation permission for the COM Server application with CLSID  {6B3B8D23-FA8D-40B9-8DBD-B950333E2C52}  and APPID  {4839DDB7-58C2-48F5-8283-E1D1807D0D7D}  to the user NT AUTHORITY\LOCAL SERVICE SID (S-1-5-19) from address LocalHost (Using LRPC) running in the application container Unavailable SID (Unavailable). This security permission can be modified using the Component Services administrative tool.
2026-03-30 21:34:18,Application,Information,2003,DSAService,<DSAExceptionEvent xmlns:xsi='http://www.w3.org/2001/XMLSchema-instance' xmlns:xsd='http://www.w3.org/2001/XMLSchema' xmlns='https://www.intel.com'><OS><Description>Windows 10 Home</Description><Version>6.3</Version><Build>26200</Build><Release>2009</Release><EpmId>windows-11-25h2-64</EpmId></OS><DSAVersion>25.4.36.6</DSAVersion><Module>DSARulesCore.dll</Module><ClassName>Intel.DSA.Rules.RuleSets.Rebar</ClassName><MethodName>ConvertDetectionOutputToMessage</MethodName><ExceptionType>ResizableBarMessageException</ExceptionType><Message>CheckAmdPlatform</Message></DSAExceptionEvent>
2026-03-30 21:34:07,Application,Warning,64,Microsoft-Windows-CertificateServicesClient-AutoEnrollment,Certificate for local system with Thumbprint 68 c8 d0 95 66 82 93 2f 46 f1 03 f9 42 7d 72 ec e4 80 2a cc is about to expire or already expired.
2026-03-30 21:34:05,System,Information,7045,Service Control Manager,A service was installed in the system.  Service Name:  NTIOLib_MysticLight Service File Name:  C:\Program Files (x86)\MSI\One Dragon Center\Mystic_Light\Lib\\NTIOLib_X64.sys Service Type:  kernel mode driver Service Start Type:  demand start Service Account:  
2026-03-30 21:34:01,Application,Information,0,Service1,Service started successfully.
2026-03-30 21:34:01,Application,Information,1035,MsiInstaller,Windows Installer reconfigured the product. Product Name: Microsoft GameInput. Product Version: 3.3.163.0. Product Language: 1033. Manufacturer: Microsoft Corporation. Reconfiguration success or error status: 0.
2026-03-30 21:33:58,System,Information,7026,Service Control Manager,The following boot-start or system-start driver(s) did not load:  dam EneTechIo uiomap
2026-03-30 21:33:58,Application,Information,1,CoworkVMService,Claude VM Service starting. Detailed logs: C:\ProgramData\Claude\Logs\cowork-service.log
2026-03-30 21:33:57,System,Information,32,e1rexpress,Intel(R) I211 Gigabit Network Connection  Network link has been established at 1Gbps full duplex. 
2026-03-30 21:33:56,System,Information,51046,Microsoft-Windows-DHCPv6-Client,DHCPv6 client service is started
2026-03-30 21:33:56,System,Information,5211,Microsoft-Windows-WAS,The Windows Process Activation Service (WAS) started with 'Classic' mode using 'ConfigurationSystem'
2026-03-30 21:33:56,Application,Information,0,LightKeeperService,Service started successfully.
2026-03-30 21:33:56,Application,Information,0,MSI_Companion_Service,Service started successfully.
2026-03-30 21:33:56,Application,Information,1003,DSAService,DSAService.dll:7:Intel.DSA.Service.Service|OnStartTask|()|Initializing logging
2026-03-30 21:33:56,Application,Information,1003,DSAService,DSAService.dll:7:DSAClientCore.Controllers.Computer.SettingsController|SetDownloadsDirectoryFallback|()|DownloadsDirectoryFallback changed.
2026-03-30 21:33:56,Application,Information,1003,DSAService,DSAService.dll:7:DSAClientCore.Controllers.Computer.SettingsController|SetDsaDirectoryFallback|()|DsaDirectoryFallback changed.
2026-03-30 21:33:56,Application,Information,0,SystemUsageReportSvc,Service started successfully.
2026-03-30 21:33:56,Application,Information,1003,DSAService,DSAService.dll:7:DSAClientCore.Controllers.Computer.SettingsController|SetDsaDirectoryFallback|()|DsaDirectoryFallback changed.
2026-03-30 21:33:56,Application,Information,0,DSAUpdateService,Service started successfully.
2026-03-30 21:33:56,Application,Information,0,DSAService,Service started successfully.
2026-03-30 21:33:56,Application,Information,5617,Microsoft-Windows-WMI,Windows Management Instrumentation Service subsystems initialized successfully
2026-03-30 21:33:56,Application,Information,5615,Microsoft-Windows-WMI,Windows Management Instrumentation Service started sucessfully
2026-03-30 21:33:55,System,Information,50036,Microsoft-Windows-Dhcp-Client,DHCPv4 client service is started
2026-03-30 21:33:55,System,Information,50103,Microsoft-Windows-Dhcp-Client,DHCPv4 client registered for shutdown notification
2026-03-30 21:33:55,System,Information,50036,Microsoft-Windows-Dhcp-Client,DHCPv4 client service is started
2026-03-30 21:33:55,System,Information,277,Microsoft-Windows-Hyper-V-VmSwitch,"vmswitch.sys build 26100.amd64.ge_release_svc_prod1, debug false, official true, 1 1"
2026-03-30 21:33:55,System,Information,16983,Microsoft-Windows-Directory-Services-SAM,The security account manager is now logging periodic summary events for remote clients that call legacy password change or set RPC methods.  For more information please see https://go.microsoft.com/fwlink/?linkid=2150956. 
2026-03-30 21:33:55,System,Information,16977,Microsoft-Windows-Directory-Services-SAM,The domain is configured with the following minimum password length-related settings.  MinimumPasswordLength: 0  RelaxMinimumPasswordLengthLimits: 0  MinimumPasswordLengthAudit: -1  For more information see https://go.microsoft.com/fwlink/?LinkId=2097191. 
2026-03-30 21:33:55,System,Information,16962,Microsoft-Windows-Directory-Services-SAM,Remote calls to the SAM database are being restricted using the default security descriptor: O:SYG:SYD:(A;;RC;;;BA). For more information please see http://go.microsoft.com/fwlink/?LinkId=787651.
2026-03-30 21:33:55,System,Information,5,Microsoft-Windows-IsolatedUserMode,Secure Trustlet NULL Id 0 and Pid 0 started with status STATUS_SUCCESS.
2026-03-30 21:33:55,System,Information,6156,LsaSrv,Credential Guard auto enablement status.  Hardware Requirements for Virtualization Based Security:	1 Domain Joined:	0 Azure AD Joined:	0  Licensed for Credential Guard:	0 Domain Controller:	0
2026-03-30 21:33:55,System,Information,12,Microsoft-Windows-Wininit,LSASS.exe was started as a protected process with level: 4.
2026-03-30 21:33:55,System,Information,18,Microsoft-Windows-Wininit,VBS Key Isolation was started and will protect VSM-isolated keys.
2026-03-30 21:33:55,System,Information,1,Microsoft-Windows-IsolatedUserMode,Secure Trustlet \??\C:\WINDOWS\system32\lsaiso.exe Id 1 and Pid 1596 started with status STATUS_SUCCESS.
2026-03-30 21:33:55,System,Information,5,Microsoft-Windows-IsolatedUserMode,Secure Trustlet NULL Id 0 and Pid 0 started with status STATUS_SUCCESS.
2026-03-30 21:33:55,System,Information,14,Microsoft-Windows-Wininit,Credential Guard configuration:  Registry Configuration: 0x0 Test Configuration: 0 Auto Enablement: 0
2026-03-30 21:33:55,System,Information,6013,EventLog,The system uptime is 8 seconds.
2026-03-30 21:33:55,System,Information,6005,EventLog,The Event log service was started.
2026-03-30 21:33:55,System,Information,6009,EventLog,Microsoft (R) Windows (R) 10.00. 26200  Multiprocessor Free.
2026-03-30 21:33:55,Application,Information,1531,Microsoft-Windows-User Profiles Service,The User Profile Service has started successfully.    
2026-03-30 21:33:55,Application,Information,4625,Microsoft-Windows-EventSystem,The EventSystem sub system is suppressing duplicate event log entries for a duration of 86400 seconds.  The suppression timeout can be controlled by a REG_DWORD value named SuppressDuplicateDuration under the following registry key: HKLM\Software\Microsoft\EventSystem\EventLog.
2026-03-30 21:33:54,System,Information,23,Microsoft-Windows-Wininit,Boot App Anti-Rollback: Initialize Completed with status: HRESULT: The operation completed successfully. New timer needed: false New timer waiting for system update completion: false Previous latch timer exists but disabled by registry: false 
2026-03-30 21:33:54,System,Information,25,Microsoft-Windows-Wininit,Boot App Anti-Rollback: Previous timer resumed with status:  HRESULT: The operation completed successfully. Previous timer present: true Start time: ‎2026‎-‎02‎-‎11T23:58:58.848404600Z Grace period: 51840000000000 Attempted recovery enforcement succeeded: false 
2026-03-30 21:33:54,System,Information,24,Microsoft-Windows-Wininit,Boot App Anti-Rollback: Timer start completed with status:  Win32Error: 0 Start time: ‎2026‎-‎02‎-‎11T23:58:58.848404600Z Grace period: 51840000000000 Due time: ‎2026‎-‎04‎-‎12T23:58:58.848404600Z 
2026-03-30 21:33:54,System,Information,19,Microsoft-Windows-Wininit,Virtualization Based Security new timer creation status  HRESULT: The operation completed successfully. New latch timer needed: false New latch timer waiting for system update completion: false Previous latch timer exists but disabled by registry: false Policy file exists: false 
2026-03-30 21:33:53,System,Warning,27,e1rexpress,Intel(R) I211 Gigabit Network Connection  Network link is disconnected. 
2026-03-30 21:33:52,System,Warning,6,BTHUSB,Only one active Bluetooth adapter is supported at a time.
2026-03-30 21:33:52,System,Warning,219,Microsoft-Windows-Kernel-PnP,The driver \Driver\WUDFRd failed to load. Device: HID\VID_0951&PID_16DF&MI_03&Col02\8&2c632188&0&0001 Status: 0xC0000365
2026-03-30 21:33:52,System,Information,10118,Microsoft-Windows-DriverFrameworks-UserMode,"UMDF reflector is unable to connect to service control manager (SCM). This is expected during boot, when SCM has not started yet. Will retry when it starts."
2026-03-30 21:33:52,System,Information,18,BTHUSB,Windows cannot store Bluetooth authentication codes (link keys) on the local adapter. Bluetooth keyboards might not work in the system BIOS during startup.
2026-03-30 21:33:51,System,Information,7018,Netwtw14,
2026-03-30 21:33:51,System,Information,7017,Netwtw14,
2026-03-30 21:33:51,System,Information,7010,Netwtw14,
2026-03-30 21:33:51,System,Information,7005,Netwtw14,
2026-03-30 21:33:51,System,Information,7027,Netwtw14,
2026-03-30 21:33:51,System,Information,7029,Netwtw14,
2026-03-30 21:33:51,System,Information,7036,Netwtw14,The \Device\NDMP1 service entered the Intel(R) Wi-Fi 6E AX210 160MHz #2 state.
2026-03-30 21:33:50,System,Information,98,Microsoft-Windows-Ntfs,Volume \\?\Volume{dd369f6e-a7cb-439e-ade2-7a8ecac22c7f} (\Device\HarddiskVolume4) is healthy.  No action is needed.
2026-03-30 21:33:49,System,Information,98,Microsoft-Windows-Ntfs,Volume D: (\Device\HarddiskVolume7) is healthy.  No action is needed.
2026-03-30 21:33:49,System,Information,172,Microsoft-Windows-Kernel-Power,"Connectivity state in standby: Disconnected, Reason: NIC compliance"
2026-03-30 21:33:49,System,Information,26,Application Popup,
2026-03-30 21:33:49,System,Information,7036,VfpExt,The  service entered the Driver load complete state.
2026-03-30 21:33:49,System,Information,7036,VfpExt,The  service entered the Driver load start state.
2026-03-30 21:33:49,System,Information,98,Microsoft-Windows-Ntfs,Volume C: (\Device\HarddiskVolume3) is healthy.  No action is needed.
2026-03-30 21:33:47,System,Information,16,Microsoft-Windows-HAL,IOMMU fault reporting has been initialized.
2026-03-30 21:33:47,System,Information,3,Microsoft-Windows-IsolatedUserMode,"Secure Kernel started with status STATUS_SUCCESS and flags HvciEnabled,HvciStrictMode."
2026-03-30 21:33:47,System,Information,165,Microsoft-Windows-Hyper-V-Hypervisor,"Hypervisor configured mitigations for CVE-2019-11091, CVE-2018-12126, CVE-2018-12127, CVE-2018-12130 for virtual machines.  Processor not affected: false Processor family not affected: false Processor supports microarchitectural buffer flush: false Buffer flush needed: false "
2026-03-30 21:33:47,System,Information,156,Microsoft-Windows-Hyper-V-Hypervisor,Hypervisor configured mitigations for CVE-2018-3646 for virtual machines.  Processor not affected: false Processor family not affected: false Processor supports cache flush: false HyperThreading enabled: true Parent hypervisor applies mitigations: false Mitigations disabled by bcdedit: false Mitigations enabled: true Cache flush needed: false 
2026-03-30 21:33:47,System,Information,129,Microsoft-Windows-Hyper-V-Hypervisor,Hypervisor initialized I/O remapping.  Hardware present: false Hardware enabled: false Policy: 0x0 Enabled features: 0x0 Internal information: 0x0 Problems: 0x0 Additional information: 0x0
2026-03-30 21:33:47,System,Information,2,Microsoft-Windows-Hyper-V-Hypervisor,Hypervisor scheduler type is 0x4.
2026-03-30 21:33:47,System,Information,1,Microsoft-Windows-Hyper-V-Hypervisor,Hypervisor successfully started.
2026-03-30 16:59:11,System,Information,577,Microsoft-Windows-Kernel-Power,The system has prepared for a system initiated reboot from Active.
2026-03-30 16:59:10,Application,Error,1000,Application Error,"Faulting application name: LEDKeeper2.exe, version: 1.0.1.15, time stamp: 0x60487780 Faulting module name: KERNELBASE.dll, version: 10.0.26100.8036, time stamp: 0x1ba81ff3 Exception code: 0xe0434352 Fault offset: 0x00163184 Faulting process id: 0x2450 Faulting application start time: 0x1DCC0906DD10440 Faulting application path: C:\Program Files (x86)\MSI\One Dragon Center\Mystic_Light\LEDKeeper2.exe Faulting module path: C:\WINDOWS\System32\KERNELBASE.dll Report Id: 9405cd15-67e8-49b4-b302-e1b4c78ea2fc Faulting package full name:  Faulting package-relative application ID: "
2026-03-30 16:59:09,System,Information,109,Microsoft-Windows-Kernel-Power,The kernel power manager has initiated a shutdown transition.  Action: Power Action Shutdown Off  Event Code: 0x0  Reason: Kernel API
2026-03-30 16:59:08,System,Information,50037,Microsoft-Windows-Dhcp-Client,DHCPv4 client service is stopped. ShutDown Flag value is 1
2026-03-30 16:59:08,System,Information,50106,Microsoft-Windows-Dhcp-Client,DHCPv4 is waiting on DHCPv6 service to stop
